target,source,total_gdppct,net_gdppct,total_mdollars,net_mdollars
Tonga,WORLD,0.3411,0.3343,145.89,142.98
Tonga,United States,0.1339,0.1339,57.28,57.28
Tonga,New Zealand,0.1295,0.1295,55.40,55.40
Tonga,Australia,0.0647,0.0647,27.65,27.65
Tonga,American Samoa,0.0086,0.0086,3.69,3.69
Tonga,Chile,0.0018,0.0018,0.75,0.75
Tonga,Canada,0.0005,0.0005,0.23,0.23
Tonga,France,0.0005,0.0005,0.21,0.21
Tonga,Samoa,0.0004,-0.0003,0.16,-0.14
Tonga,Sweden,0.0002,0.0002,0.09,0.09
Tonga,Italy,0.0002,0.0002,0.06,0.06
Tonga,Switzerland,0.0001,0.0001,0.05,0.05
Tonga,Vanuatu,0.0001,0.0001,0.05,0.05
Tonga,Denmark,0.0001,0.0001,0.05,0.05
Tonga,Dominican Republic,0.0001,0.0001,0.04,0.04
Tonga,Ireland,0.0001,0.0001,0.04,0.04
Tonga,Netherlands,0.0001,0.0001,0.02,0.02
Tonga,Austria,0.0000,0.0000,0.02,0.02
Tonga,Norway,0.0000,0.0000,0.02,0.02
Tonga,Czech Republic,0.0000,0.0000,0.01,0.01
Tonga,Russian Federation,0.0000,0.0000,0.01,0.01
Tonga,Kenya,0.0000,0.0000,0.01,0.01
Tonga,Argentina,0.0000,0.0000,0.01,0.01
Tonga,Bermuda,0.0000,0.0000,0.01,0.01
Tonga,Panama,0.0000,0.0000,0.00,0.00
Tonga,Bulgaria,0.0000,0.0000,0.00,0.00
Tonga,Costa Rica,0.0000,0.0000,0.00,0.00
Tonga,Iceland,0.0000,0.0000,0.00,0.00
Tonga,Finland,0.0000,0.0000,0.00,0.00
Tonga,Aruba,0.0000,0.0000,0.00,0.00
Tonga,Estonia,0.0000,0.0000,0.00,0.00
Tonga,Peru,0.0000,0.0000,0.00,0.00
Kyrgyz Republic,WORLD,0.3287,0.3035,2486.32,2296.09
Kyrgyz Republic,Russian Federation,0.2517,0.2399,1904.33,1814.87
Kyrgyz Republic,Germany,0.0373,0.0362,282.22,274.05
Kyrgyz Republic,Ukraine,0.0098,0.0051,74.12,38.87
Kyrgyz Republic,Uzbekistan,0.0049,0.0049,37.14,37.14
Kyrgyz Republic,Tajikistan,0.0033,0.0025,25.10,18.85
Kyrgyz Republic,Kazakhstan,0.0027,0.0026,20.66,19.36
Kyrgyz Republic,Belarus,0.0022,0.0011,16.27,8.42
Kyrgyz Republic,United States,0.0021,0.0021,15.67,15.67
Kyrgyz Republic,Turkey,0.0018,0.0017,13.54,13.18
Kyrgyz Republic,Israel,0.0013,0.0013,10.01,10.01
Kyrgyz Republic,Azerbaijan,0.0013,0.0008,9.86,5.77
Kyrgyz Republic,Belgium,0.0011,0.0011,8.14,8.14
Kyrgyz Republic,"Korea, Rep.",0.0010,0.0010,7.85,7.24
Kyrgyz Republic,Turkmenistan,0.0009,0.0009,6.89,6.89
Kyrgyz Republic,Moldova,0.0009,0.0003,6.49,2.11
Kyrgyz Republic,Canada,0.0008,0.0008,6.05,6.05
Kyrgyz Republic,Georgia,0.0007,-0.0003,5.23,-2.54
Kyrgyz Republic,Czech Republic,0.0006,0.0006,4.76,4.76
Kyrgyz Republic,Italy,0.0005,0.0005,4.04,4.04
Kyrgyz Republic,Sweden,0.0005,0.0005,3.81,3.81
Kyrgyz Republic,Latvia,0.0005,0.0000,3.43,0.35
Kyrgyz Republic,China,0.0004,0.0002,2.98,1.25
Kyrgyz Republic,Austria,0.0004,0.0004,2.75,2.75
Kyrgyz Republic,France,0.0003,0.0003,2.51,2.51
Kyrgyz Republic,Switzerland,0.0003,0.0003,2.37,2.37
Kyrgyz Republic,Lithuania,0.0003,-0.0005,2.19,-4.10
Kyrgyz Republic,Estonia,0.0003,0.0000,1.92,0.12
Kyrgyz Republic,Australia,0.0002,0.0002,1.49,1.49
Kyrgyz Republic,Norway,0.0001,0.0001,0.91,0.91
